750, 1, [((-2, 0, 0), (0, -1, 0)), ((-2, 0, 0), (1, -1, -1)), ((-1, -1, 0), (-1, 1, -1)), ((-1, -1, 0), (-1, 1, 1)), ((-1, -1, 0), (0, 1, 0)), ((0, 0, 0), (-1, 0, 0)), ((0, 0, 0), (-1, 1, 1))]
750, 1, [((-1, -1, 0), (0, 1, 0)), ((-1, -1, 0), (1, 1, -1)), ((-1, -1, 0), (1, 1, 1)), ((0, 0, 0), (-1, -1, -1)), ((0, 0, 0), (0, -1, 0)), ((0, 0, 0), (0, 0, -1)), ((0, 0, 0), (1, -1, -1))]
750, 1, [((-1, -1, 0), (0, 0, -1)), ((-1, -1, 0), (1, 1, -1)), ((0, 0, 0), (-1, -1, -1)), ((0, 0, 0), (0, 0, -1)), ((0, 0, 0), (1, 1, -1)), ((1, 1, 0), (-1, -1, -1)), ((1, 1, 0), (0, 0, -1))]
750, 1, [((-2, 0, 0), (1, -1, -1)), ((-2, 0, 0), (1, 0, 0)), ((-1, 0, 1), (0, 0, -1)), ((-1, 0, 1), (1, -1, -1)), ((-1, 0, 1), (1, 1, -1)), ((0, 0, 0), (-1, 1, 1)), ((0, 0, 0), (0, 0, 1))]
750, 1, [((-2, -1, -1), (1, 1, 1)), ((-1, -1, 0), (-1, 1, -1)), ((-1, -1, 0), (0, 1, 0)), ((-1, -1, 0), (1, 1, 1)), ((-1, 1, 0), (0, -1, 0)), ((0, 0, 0), (-1, 0, 0)), ((0, 0, 0), (-1, 1, 1))]
750, 1, [((-2, 0, 0), (0, -1, 0)), ((-2, 0, 0), (1, -1, -1)), ((-1, -1, 0), (-1, 1, -1)), ((-1, -1, 0), (-1, 1, 1)), ((-1, -1, 0), (0, 1, 0)), ((0, 0, 0), (-1, 0, 0)), ((0, 0, 0), (-1, 1, 1))]
750, 1, [((-1, -1, 0), (0, 1, 0)), ((-1, -1, 0), (1, 1, -1)), ((-1, -1, 0), (1, 1, 1)), ((-1, 0, -1), (1, -1, 1)), ((0, 0, 0), (-1, -1, 1)), ((0, 0, 0), (0, 0, 1)), ((0, 1, 1), (0, -1, 0))]
750, 1, [((-2, -1, -1), (1, 0, 0)), ((-1, -1, 0), (0, 0, -1)), ((-1, -1, 0), (1, 1, -1)), ((-1, 0, 1), (1, -1, -1)), ((0, 0, 0), (-1, -1, -1)), ((0, 0, 0), (-1, -1, 1)), ((0, 0, 0), (-1, 0, 0))]
750, 1, [((-2, 0, 0), (0, -1, 0)), ((-2, 0, 0), (1, -1, -1)), ((-1, -1, 0), (-1, 1, -1)), ((-1, -1, 0), (0, 1, 0)), ((0, 0, 0), (-1, 0, 0)), ((0, 0, 0), (-1, 1, -1)), ((0, 0, 0), (-1, 1, 1))]
750, 1, [((-1, -1, 0), (0, 1, 0)), ((-1, -1, 0), (1, 1, -1)), ((-1, -1, 0), (1, 1, 1)), ((0, 0, 0), (-1, -1, -1)), ((0, 0, 0), (0, -1, 0)), ((0, 0, 0), (0, 0, -1)), ((0, 0, 0), (1, -1, -1))]
750, 1, [((-1, -1, 0), (-1, 1, -1)), ((-1, -1, 0), (0, 1, 0)), ((-1, 1, 0), (1, -1, 1)), ((-1, 1, 0), (1, 0, 0)), ((0, 0, 0), (-1, 0, 0)), ((0, 0, 0), (-1, 1, -1)), ((0, 0, 0), (-1, 1, 1))]
750, 1, [((-1, -1, 0), (0, 0, -1)), ((-1, -1, 0), (1, 1, -1)), ((0, 0, 0), (-1, -1, -1)), ((0, 0, 0), (0, 0, -1)), ((0, 0, 0), (1, 1, -1)), ((1, 1, 0), (-1, -1, -1)), ((1, 1, 0), (0, 0, -1))]
750, 1, [((-2, 0, 0), (1, -1, -1)), ((-2, 0, 0), (1, 0, 0)), ((-1, -1, 0), (0, 1, 0)), ((-1, -1, 0), (1, 1, -1)), ((-1, 1, 0), (1, -1, 1)), ((0, 0, 0), (-1, 0, 0)), ((0, 0, 0), (-1, 1, 1))]
